会員ID,登録エリア,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,エリア総消費額,満足度(商品・サービス),満足度(商品・サービス)の理由,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
131541,JR九頭竜湖駅 エリア,男,1996,27,20代,福島県,相馬市,700万円以上 800万円未満,mobile/android,2023-04-28 12:16:52,4月,JR九頭竜湖駅 エリア,23.JR九頭竜湖駅 エリア,大野市,勝山市・大野市,,1泊,2泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,自分ひとり,"温泉や露天風呂
花見や紅葉などの自然鑑賞
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"20,000円以上 30,000円未満","20,000円以上 30,000円未満","10,000円以上 20,000円未満",2～5回目,"観光連盟やDMOのHP
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"40,000円以上 50,000円未満",満足,,とても満足,,感じなかった,,9,,,機会があれば行きたい,
131520,うみんぴあ大飯 エリア,男,1960,63,60代,岐阜県,山県市,100万円未満,mobile/iphone,2023-04-28 07:52:14,4月,うみんぴあ大飯 エリア,84.うみんぴあ大飯 エリア,おおい町,嶺南西部,,2泊,2泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"花見や紅葉などの自然鑑賞
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"40,000円以上 50,000円未満","5,000円以上 10,000円未満","20,000円以上 30,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"3,000円以上 5,000円未満",どちらでもない,営業時間が短い。夜7時までは営業してほしい。,満足,,感じなかった,,5,,,機会があれば行きたい,
131511,web,男,2000,23,20代,神奈川県,平塚市,100万円未満,mobile/iphone,2023-04-28 00:21:27,4月,福井駅前 エリア（宿泊施設）,02.福井駅前 エリア（宿泊施設）,福井市,福井市・永平寺町,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,自分ひとり,"出張など仕事関係
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"新幹線
在来線
",0,0,1,0,0,0,0,"徒歩
",0,0,1,0,,,"5,000円以上 10,000円未満","20,000円以上 30,000円未満","3,000円以上 5,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,福井駅,"5,000円以上 10,000円未満",満足,,満足,,感じた,,10,,,また行きたい（1年以内）,芦原温泉駅に、もっとお土産が買える、飲食ができる店が欲しい。
131582,web,女,1977,46,40代,愛知県,名古屋市中区,"1,000万円以上 1,200万円未満",mobile/android,2023-04-29 14:07:47,4月,武生駅 エリア,40.武生駅 エリア,越前市,丹南,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,岡太神社・大瀧神社,"5,000円以上 10,000円未満",満足,,満足,空いていて良かったが、寂しいかんじだった,感じなかった,,5,,,機会があれば行きたい,
131582,web,女,1977,46,40代,愛知県,名古屋市中区,"1,000万円以上 1,200万円未満",mobile/android,2023-04-29 12:19:37,4月,紫式部公園 エリア,41.紫式部公園 エリア,越前市,丹南,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,越前海岸,,越前打刃物会館,"3,000円以上 5,000円未満",とても満足,紫式部会館、解りやすく楽しめた,とても満足,ちょうどよい大きさ、舞台で涼めた,感じなかった,,8,,,機会があれば行きたい,
131582,web,女,1977,46,40代,愛知県,名古屋市中区,"1,000万円以上 1,200万円未満",mobile/android,2023-04-29 11:35:15,4月,越前海岸 高佐米ノ旅館街 エリア,56.越前海岸 高佐米ノ旅館街 エリア,越前町,丹南,,1泊,1泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,紫式部公園,選択なし/該当施設なし,"3,000円以上 5,000円未満",満足,,とても満足,,感じなかった,,7,,,機会があれば行きたい,"漁港に落ちているゴミがすごくてびっくりした。
ごみ袋を持ってきたい"
131598,越前そばの里 エリア,男,1959,64,60代,岐阜県,岐阜市,100万円未満,mobile/iphone,2023-04-29 11:21:38,4月,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,恋人,"温泉や露天風呂
地元の美味しいものを食べる
買い物、アウトレット
",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"5,000円以上 10,000円未満","10,000円以上 20,000円未満",11回目以上,"TV・ラジオ番組やCM
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,越前がにミュージアム,"3,000円以上 5,000円未満",満足,安くて、丁寧、美味しい,満足,利用しやすい,感じなかった,,10,とても美味しくて、お土産も充実,,また行きたい（1年以内）,日本酒、カニ、白エビ、新鮮な魚
131595,道の駅「恐竜渓谷かつやま」 エリア,女,1965,58,50代,福井県,吉田郡,400万円以上 500万円未満,mobile/iphone,2023-04-29 11:15:38,4月,道の駅「恐竜渓谷かつやま」 エリア,26.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県加賀市,その他家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,"TV・ラジオ番組やCM
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,8,,,,
131594,道の駅「恐竜渓谷かつやま」 エリア,女,1970,53,50代,福井県,越前市,700万円以上 800万円未満,mobile/iphone,2023-04-29 11:14:49,4月,道の駅「恐竜渓谷かつやま」 エリア,26.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,福井県内には宿泊しない,石川県加賀市,その他家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","20,000円以上 30,000円未満",2～5回目,"観光協会等の案内所
",0,0,0,0,0,0,0,0,0,0,0,1,0,0,一乗谷朝倉氏遺跡,,越前大野城,"1,000円以上 3,000円未満",とても満足,,とても満足,,感じなかった,,2,,,,
131547,web,女,1986,37,30代,長野県,北安曇郡,400万円以上 500万円未満,mobile/android,2023-04-29 10:52:48,4月,えちぜん鉄道 永平寺口駅 エリア,31.えちぜん鉄道 永平寺口駅 エリア,永平寺町,福井市・永平寺町,,2泊,2泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",2～5回目,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,選択なし/該当施設なし,,北潟湖畔公園・サイクリングパーク,"10,000円以上 20,000円未満",とても満足,日本酒が好きなのでESHIKOTOさんを訪れましたが雰囲気もサービスもとても良かったです。,とても満足,九頭竜川と山の自然の景色に癒やされました,感じなかった,,10,ESHIKOTOや永平寺はまた訪れたいと思える場所でした,県内、地域の日本酒が一同に介する施設があったら楽しいと思います！,また行きたい（1年以内）,日本酒のテーマパークや海鮮が買えたり食べたりできる大型施設があったら訪れたいです。
131547,web,女,1986,37,30代,長野県,北安曇郡,400万円以上 500万円未満,mobile/android,2023-04-29 10:45:06,4月,あわら湯のまち エリア,17.あわら湯のまち エリア,あわら市,あわら市・坂井市,,2泊,2泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,夫婦2人,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",2～5回目,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,箸のふるさと館WAKASA,,東尋坊,"40,000円以上 50,000円未満",とても満足,グランディア芳泉に宿泊しましたがとても素晴らしい滞在となりました,とても満足,泉質が素晴らしかった,感じなかった,,10,温泉やサービスがとても良かったので女子旅でまた来たい,,また行きたい（1年以内）,海鮮が購入できる市場などがもっとあると嬉しいです
131556,東尋坊 エリア,男,1996,27,20代,神奈川県,平塚市,500万円以上 600万円未満,mobile/iphone,2023-04-29 10:32:38,4月,JR芦原温泉駅 エリア,16.JR芦原温泉駅 エリア,あわら市,あわら市・坂井市,,2泊,1泊,三国・あわらエリア（あわら市・坂井市）,石川県金沢市,恋人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
まちあるき、都市散策
",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"飛行機
",0,0,0,1,1,0,0,"在来線
",0,0,0,0,満足,アクセスがいい,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,"宿泊施設
",0,0,0,0,0,0,0,0,0,0,0,0,0,1,東尋坊,,金沢駅周辺（石川県）,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じた,JRからあらわ湯町までのアクセスが、1時間に1本のバス以外になかった,10,,,機会があれば行きたい,
131592,web,女,1968,55,50代,福井県,大野市,分からない/無回答,mobile/android,2023-04-29 10:29:07,4月,道の駅「恐竜渓谷かつやま」 エリア,26.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,知っているから,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
その他
",0,0,0,0,,,使わない,使わない,"1,000円以上 3,000円未満",2～5回目,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"1,000円以上 3,000円未満",不満,,どちらでもない,,感じなかった,,3,,,,
131591,web,女,1968,55,50代,滋賀県,高島市,600万円以上 700万円未満,mobile/iphone,2023-04-29 10:06:37,4月,北陸新幹線 越前たけふ駅 エリア,38.北陸新幹線 越前たけふ駅 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
ドライブ・ツーリング
",0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,使わない,"10,000円以上 20,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,熊川宿,,「ちひろの生まれた家」記念館,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,5,,,機会があれば行きたい,
131590,道の駅「三方五湖」  エリア,女,1972,51,50代,福井県,三方上中郡,100万円未満,mobile/iphone,2023-04-29 10:01:39,4月,道の駅「三方五湖」  エリア,83.道の駅「三方五湖」 エリア,若狭町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"地元の美味しいものを食べる
花見や紅葉などの自然鑑賞
買い物、アウトレット
まちあるき、都市散策
",0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","10,000円以上 20,000円未満",11回目以上,"インターネット・アプリ
Instagram
",0,0,0,0,0,1,0,1,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"10,000円以上 20,000円未満",どちらでもない,,満足,,感じなかった,,8,,,また行きたい（1年以内）,
131585,福井駅前 エリア,女,1962,61,60代,兵庫県,神戸市須磨区,100万円未満,mobile/android,2023-04-29 09:35:51,4月,福井駅前 エリア,01.福井駅前 エリア,福井市,福井市・永平寺町,,2泊,2泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
アウトドア（海水浴、釣り、登山など）
",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",11回目以上,"新聞・雑誌・ガイドブック
TV・ラジオ番組やCM
観光パンフレット・ポスター
",0,1,1,1,0,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,丸岡城,"10,000円以上 20,000円未満",満足,,満足,駅前の恐竜 は魅力で夜のライトアップも良かった,感じなかった,,8,,食事についてはどこも美味しくて満足した。,また行きたい（1年以内）,旅行支援割がなくなった後のホテル代が高額だと感じてしまったらあまり足を運ばなくなると思うので、それでも来たいと思う工夫が必要だと思う。
131584,うみんぴあ大飯 エリア,男,1955,68,60代,岐阜県,瑞穂市,200万円以上 300万円未満,tablet/ipad,2023-04-29 09:16:29,4月,うみんぴあ大飯 エリア,84.うみんぴあ大飯 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"30,000円以上 40,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
