会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,その他,福井県内での交通手段ALL,自家用車,レンタカー,タクシー,在来線,旅行会社ツアーバス,路線バス,徒歩,レンタサイクル,その他,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
102488,web,男,1971,51,50代,福井県,坂井市,400万円以上 500万円未満,mobile/android,2022-06-11 09:54:08,6月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"地元の美味しいものを食べる
名所、旧跡の観光
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
観光連盟やDMOのHP
観光協会等の案内所
",0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,とても満足,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,道の駅「九頭竜・和泉ふれあい会館」,,白山平泉寺歴史探遊館 まほろば,,"3,000円以上 5,000円未満",満足,,感じなかった,,8,,,福井県在住,
106300,越前大野城・城下町 エリア,男,1967,55,50代,石川県,金沢市,分からない/無回答,mobile/android,2022-06-11 09:40:42,6月,越前大野城・城下町 エリア,15.越前大野城・城下町 エリア,大野市,勝山市・大野市,,2泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県加賀市,夫婦2人,"温泉や露天風呂
名所、旧跡の観光
まちあるき、都市散策
",0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ
観光協会等の案内所
",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"3,000円以上 5,000円未満","3,000円以上 5,000円未満",2～5回目,一乗谷朝倉氏遺跡,,あわら温泉街,,"1,000円未満",とても満足,,感じなかった,,9,,,また行きたい（1年以内）,
106299,越前大野城・城下町 エリア,女,1974,48,40代,石川県,金沢市,分からない/無回答,mobile/iphone,2022-06-11 09:40:42,6月,越前大野城・城下町 エリア,15.越前大野城・城下町 エリア,大野市,勝山市・大野市,,2泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県加賀市,夫婦2人,"地元の美味しいものを食べる
名所、旧跡の観光
",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"1,000円以上 3,000円未満","3,000円以上 5,000円未満",2～5回目,一乗谷朝倉氏遺跡,,あわら温泉街,,"1,000円未満",とても満足,,感じなかった,,8,,,また行きたい（1年以内）,
106296,道の駅「九頭竜」 エリア,男,1994,28,20代,静岡県,浜松市北区,800万円以上 900万円未満,mobile/iphone,2022-06-11 09:20:54,6月,道の駅「九頭竜」 エリア,17.道の駅「九頭竜」 エリア,大野市,勝山市・大野市,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
まちあるき、都市散策
ドライブ・ツーリング
友人・親戚を尋ねる
",0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,どちらでもない,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,使わない,とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
106297,道の駅「九頭竜」 エリア,女,1995,27,20代,静岡県,浜松市北区,800万円以上 900万円未満,mobile/iphone,2022-06-11 09:20:07,6月,道の駅「九頭竜」 エリア,17.道の駅「九頭竜」 エリア,大野市,勝山市・大野市,,1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,実家があるため,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",2～5回目,選択なし/該当施設なし,,越前大野城,,使わない,満足,恐竜,感じなかった,,2,,,また行きたい（1年以内）,福井県から違う県に嫁いだ今でも、やっぱり福井の食べ物は美味しいしいいところだと思っています。
106295,はたや記念館 ゆめおーれ勝山 エリア,男,1956,66,60代,福井県,鯖江市,200万円以上 300万円未満,mobile/android,2022-06-11 09:19:53,6月,はたや記念館 ゆめおーれ勝山 エリア,24.はたや記念館 ゆめおーれ勝山 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
買い物、アウトレット
まちあるき、都市散策
ドライブ・ツーリング
",0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,"観光展・物産展
新聞・雑誌・ガイドブック
インターネット・アプリ
",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",6～10回目,道の駅「越前おおの荒島の郷」,,山中温泉（石川県）,,"1,000円以上 3,000円未満",不満,お土産が以前来た時からエリアが狭くなり数も少なくなって店内の雰囲気が暗いイメージだったのが残念。,感じた,駐車場に入るのに一方通行になっていますが標識に気が付かなくて県外の車が出口から侵入してきてビックリしました。,3,道の駅では福井県の美味しい特産品がたくさんあります。県内の人でも知らない品が沢山あります。,当時のはたおりの映像があったらいいとおもいます。又、織機が動いているといいですね。,また行きたい（1年以内）,アピール不足。
106290,あわら温泉 エリア,女,1966,56,50代,福井県,大野市,100万円以上 200万円未満,mobile/android,2022-06-11 09:07:18,6月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,親,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"友人・知人
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,満足,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","5,000円以上 10,000円未満",11回目以上,選択なし/該当施設なし,,選択なし/該当施設なし,,"20,000円以上 30,000円未満",満足,,感じなかった,,8,,,,
106287,三方五湖 エリア,女,1968,54,50代,福井県,丹生郡,600万円以上 700万円未満,mobile/iphone,2022-06-11 08:12:08,6月,三方五湖 エリア,63.三方五湖 エリア,若狭町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"名所、旧跡の観光
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",0,0,0,0,0,0,1,0,"自家用車
",1,0,0,0,0,0,0,0,0,,,使わない,"5,000円以上 10,000円未満","5,000円以上 10,000円未満",2～5回目,レインボーライン,,人道の港 敦賀ムゼウム,,使わない,満足,"サイクリングで一周しました。
適度なコースで良かったです。",感じなかった,,10,,おしゃれなカフェやお店が増えてほしい,機会があれば行きたい,
106288,劔神社 エリア,男,1988,34,30代,福井県,坂井市,"1,500万円以上",mobile/android,2022-06-11 08:01:57,6月,劔神社 エリア,40.劔神社 エリア,越前町,丹南,,日帰り,4泊以上,三国・あわらエリア（あわら市・坂井市）,京都府,小学生以下連れの家族,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,家族で公園などで楽しみにきました。,"インターネット・アプリ
Twitter
Instagram
友人・知人
",0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,0,0,選択肢なし,,"20,000円以上 30,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",6～10回目,選択なし/該当施設なし,,選択なし/該当施設なし,,"3,000円以上 5,000円未満",とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
106286,道の駅「越前」 エリア,女,1964,58,50代,滋賀県,愛知郡,100万円未満,mobile/android,2022-06-11 07:29:56,6月,道の駅「越前」 エリア,38.道の駅「越前」 エリア,越前町,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"ドライブ・ツーリング
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"その他
",0,0,0,0,0,0,0,オートバイ,"その他
",0,0,0,0,0,0,0,0,オートバイ,とても満足,目的がバイクツーリングだから,使わない,"3,000円以上 5,000円未満","3,000円以上 5,000円未満",初めて,選択なし/該当施設なし,道の駅,選択なし/該当施設なし,道の駅,"1,000円以上 3,000円未満",とても満足,お昼おいしかったです,感じなかった,,10,,,機会があれば行きたい,
