会員ID,登録施設,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,アンケート回答後に訪問する予定の主な場所FA,エリア総消費額,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
123063,あわら温泉 エリア,女,1997,25,20代,福井県,あわら市,200万円以上 300万円未満,mobile/iphone,2022-11-01 22:44:48,11月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,恋人,"宿でのんびり過ごす
",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満",使わない,"1,000円以上 3,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"1,000円未満",満足,,感じなかった,,7,,,,
123062,あわら温泉 エリア,男,1988,34,30代,福井県,あわら市,300万円以上 400万円未満,mobile/iphone,2022-11-01 22:43:15,11月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,恋人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"観光パンフレット・ポスター
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"10,000円以上 20,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",2～5回目,鷹巣海水浴場,,山中温泉（石川県）,,"3,000円以上 5,000円未満",満足,,感じなかった,,2,,,機会があれば行きたい,
123061,web,女,2000,22,20代,福井県,福井市,分からない/無回答,mobile/iphone,2022-11-01 22:18:32,11月,敦賀市立博物館 エリア,50.敦賀市立博物館 エリア,敦賀市,嶺南東部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,恋人,"地元の美味しいものを食べる
テーマパーク（遊園地、動物園、博物館など）
まちあるき、都市散策
ドライブ・ツーリング
",0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,"新聞・雑誌・ガイドブック
Instagram
友人・知人
",0,1,0,0,0,0,0,1,0,0,1,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
徒歩
",0,0,1,0,,,"5,000円以上 10,000円未満","1,000円以上 3,000円未満","5,000円以上 10,000円未満",2～5回目,選択なし/該当施設なし,,福井県年縞博物館,,"10,000円以上 20,000円未満",とても満足,,感じなかった,,8,海鮮丼,,福井県在住,
123010,道の駅「越前おおの荒島の郷」 エリア,女,1967,55,50代,岐阜県,可児市,800万円以上 900万円未満,mobile/iphone,2022-11-01 21:50:09,11月,かずら橋 エリア,37.かずら橋 エリア,池田町,丹南,,2泊,2泊,三国・あわらエリア（あわら市・坂井市）,なし,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,,道の駅「越前おおの荒島の郷」,,"1,000円以上 3,000円未満",どちらでもない,橋を渡る事ができよかったが、店が少ない。,感じなかった,昼食をとりたがったが、唯一の店が休みだった。,5,一度は、見る価値があるのでは。,飲食できる店がほしい。,また行きたい（1年以内）,
123056,web,男,1982,40,40代,奈良県,大和高田市,分からない/無回答,mobile/iphone,2022-11-01 21:32:26,11月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,3泊,1泊,三国・あわらエリア（あわら市・坂井市）,滋賀県と石川県,親,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
買い物、アウトレット
ドライブ・ツーリング
",1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満",使わない,"3,000円以上 5,000円未満",2～5回目,福井県立恐竜博物館,,芝政ワールド,,"3,000円以上 5,000円未満",とても満足,色々とお得だった,感じなかった,,9,クーポンでお得だった,福井県は遊び所の選択肢が少ないかなって思います、でもその内の数カ所を回ったらいいので考えるのは楽,機会があれば行きたい,次はリニューアルした恐竜博物館に来たいです
123053,越前大仏 エリア,女,1975,47,40代,京都府,京都市下京区,分からない/無回答,mobile/android,2022-11-01 21:03:05,11月,越前大仏 エリア,22.越前大仏 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,職場の同僚,"温泉や露天風呂
地元の美味しいものを食べる
まちあるき、都市散策
",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"インターネット・アプリ
Twitter
Instagram
ブログ
",0,0,0,0,0,1,1,1,0,1,0,0,0,0,"在来線
",0,1,0,0,0,0,0,"レンタカー
",0,0,0,0,とても満足,交通量も少なく快適に運転できました。,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,九頭竜湖,かずら橋,東尋坊,宮ノ下コスモス公園,"3,000円以上 5,000円未満",とても満足,近くにある和菓子屋さんのはや川で羽二重クルミを買いました。おいしくてとても満足です！,感じた,門前町のお店がもうすこし開いてたら良かったと思います。,8,運転しやすく、どの場所にもおおむね駐車場を備えているのでドライブ旅行がとても快適でした。,はや川の羽二重くるみが絶品でした！,機会があれば行きたい,
123052,うみんぴあ大飯 エリア,男,1967,55,50代,福井県,福井市,600万円以上 700万円未満,mobile/android,2022-11-01 21:00:02,11月,うみんぴあ大飯 エリア,64.うみんぴあ大飯 エリア,おおい町,嶺南西部,,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"県外から訪れていない（福井県在住）
",1,0,0,0,0,0,1,"自家用車
",0,0,0,0,選択肢なし,,"10,000円以上 20,000円未満",使わない,"5,000円以上 10,000円未満",2～5回目,敦賀駅,,選択なし/該当施設なし,脇坂公園,"5,000円以上 10,000円未満",満足,,感じなかった,,8,,,福井県在住,
122922,web,女,1953,69,60代,愛知県,一宮市,300万円以上 400万円未満,mobile/iphone,2022-11-01 20:55:12,11月,道の駅「越前おおの荒島の郷」 エリア,16.道の駅「越前おおの荒島の郷」 エリア,大野市,勝山市・大野市,,1泊,福井県内には宿泊しない,福井県内には宿泊しない,石川県金沢市,親,"地元の美味しいものを食べる
買い物、アウトレット
ドライブ・ツーリング
",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
",0,1,0,1,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"3,000円以上 5,000円未満","1,000円以上 3,000円未満",6～10回目,選択なし/該当施設なし,,一乗谷朝倉氏遺跡,,"1,000円以上 3,000円未満",とても満足,地元産のお土産がたくさんあり、目移りするほどでした。施設も広くてキレイで、何度でも行きたくなります。,感じなかった,,9,福井の名産品がたくさんあり、食事も美味しく、福井を訪れる際はぜひ寄ってほしいおススメの場所です。,スイーツがもう少し充実してると嬉しいです。高齢者の方がゆっくりできる場所があるといいと思います。,機会があれば行きたい,カニだけでなくいろんな鮮魚を揃える直売所が各地にあるといいと思います。
123048,あわら温泉 エリア,女,1974,48,40代,富山県,高岡市,分からない/無回答,mobile/android,2022-11-01 20:34:57,11月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,親,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,選択肢なし,,"10,000円以上 20,000円未満","3,000円以上 5,000円未満","10,000円以上 20,000円未満",2～5回目,今庄宿,,道の駅「一乗谷あさくら水の駅」,,"50,000円以上 100,000円未満",満足,,感じなかった,,8,観光客が多過ぎず、静かでのんびり過ごせる。,,機会があれば行きたい,
123050,あわら温泉 エリア,女,1975,47,40代,群馬県,桐生市,500万円以上 600万円未満,mobile/iphone,2022-11-01 20:33:53,11月,あわら温泉 エリア,11.あわら温泉 エリア,あわら市,あわら市・坂井市,,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,恋人,"温泉や露天風呂
地元の美味しいものを食べる
買い物、アウトレット
",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,選択なし/該当施設なし,,選択なし/該当施設なし,,"10,000円以上 20,000円未満",とても満足,,感じなかった,,8,,,機会があれば行きたい,
